 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]         F(nu)*D^2            
                                        [Jy * pc^2]              
   7.23802805       1.25899995E-02   0.00000000    
   7.66415310       1.18899997E-02   0.00000000    
   8.12181664       1.12199998E-02   0.00000000    
   8.60498333       1.05900010E-02   0.00000000    
   9.11267757       9.99999978E-03   0.00000000    
   9.65223694       9.44100041E-03   0.00000000    
   10.2240295       8.91300011E-03   0.00000000    
   10.8303699       8.41400400E-03   0.00000000    
   11.4725904       7.94299878E-03   0.00000000    
   12.1518602       7.49899819E-03   0.00000000    
   12.8728304       7.07900105E-03   0.00000000    
   13.6356096       6.68299943E-03   0.00000000    
   14.4416399       6.31000195E-03   0.00000000    
  
 Total energy radiated out of the nebula [e36 erg/s]:   665843.812    
 dTheta:   0.314159274    
 dPhi:   0.314159274    
  
 Flux at 4.9GHz (must multiply by 1.e36/(4 Pi D[cm]^2 to obtain units of [Jy]) :   0.00000000    
